Kr1,000!-000!-522-045.061.009-260.001-004.711-260.001-004.711-000!-000!-000!-000!-000!-099-153-001.003-039-040-000!-002*
Kr2,022-062.001-099-146-079-431-001-001.010-200-007-203-013.006-666-073.006-206s-073.006-200-073.006-222-073V.006-451-073.006*
Kr3,700-720-376-073.006-700x-400.004-405s-004-522-700.400-059-004.064-132-056-007-067.010f-400-470-001t-430-580c-380.001.003*
Kr4,402-009-380.001-595.005-122-280-380.001-002-409-380.001.003-597-380.001.003-059f-720-380.022-090f*
Kr5,380.001.003-005.006.010-380.001.003-315-380.001.003-090.001-380.001.003-316s-380.001.003-000!-007-000!*
Kv1,000!-019-019-001-684-290-020-001-007-390-079*
Kv2,280-001-528-280-380.001.003-062.001-001.003-522-380.001-733-670-001-380.001.003-371-001-380.001.003*
Kv3,090-001-607-376-053-380.001.003-003.246.003-380.001.003-400V-380.001.003-005-066-380.001.003-290-001.009-380.001.003*
Kv4,003.003.004-215-380.001.003-079-450-019-069-380.001.003-162-522-050-002.450-380.001.003-090-773-260.011-020-306.700*
Kv5,070-000!*
