Na1,000!-034-200-004.064-034.006-004.064-034.009-004.064-034.006-004.064-022f-205-381.009-381.010-004.064-670-022f-205-301.009-200?-000!*
Na2,300-025?-001.072-077-027.711-000!-091?-211-501-047-200-201.001-380.001.052-401-067-600-600.004-606-380.001.052-356-000!*
Na3,000!-380-001-380.001.052-280?-001-280?-001?-280?-001?-000!-001.006-522-001.062-600-062.001-522-006.001-380.001.052-400?.022-000!*
Na4,000!-207?-073.064-053-001.711-200.022-057-380.001.052-207-053-205s-001-290.001-584-380.001.052-607-009.006-607-009.006-380.001.052-300.070-006.074-206?-000!*
Na5,000!-208.700?-280-007-001-600-384-001-002-034-002-066-384-001-002-001-384-001-002-034-000!*
Nb1,000!-125-600-125-600-125-739?.060-224-222-125-034-200-255-034-010.020f-062.064.009-010?.022f?-000!*
Nb2,000!-321?-430.076-206.074f-204.074f-079-079-202.052x-600-044-670-000!.678a.052x-600-000!*
Nb3,000!-004.064-324-006:700-003-003-001?-003-280.700x-006.500-224-208.070-068.010-068-244.052x-068-300-073?.006?-000!*
Nb4,000!-321-001.061-601s-755-770-174-167-000!.061-103-174-381-073.061-225?-000!*
Nb5,000!-001-300.062.064-001-065.062?-062.064-065-324.003-004.600-040.003-000!*
